k,depth,id,order,nodes
2,3,0,6,15
2,3,1,6,15
2,3,2,6,15
2,3,3,6,15
2,3,4,1,15
2,3,5,1,15
2,3,6,6,15
2,3,7,1,15
2,3,8,2,15
2,3,9,1,15
2,3,10,6,15
2,3,11,6,15
2,3,12,2,15
2,3,13,6,15
2,3,14,6,15
2,3,15,6,15
2,3,16,1,15
2,3,17,1,15
2,3,18,2,15
2,3,19,2,15
2,4,0,6,18
2,4,1,6,18
2,4,2,1,18
2,4,3,6,18
2,4,4,6,18
2,4,5,1,18
2,4,6,6,18
2,4,7,2,18
2,4,8,1,18
2,4,9,6,18
2,4,10,1,18
2,4,11,6,18
2,4,12,2,18
2,4,13,1,18
2,4,14,6,18
2,4,15,6,18
2,4,16,6,18
2,4,17,1,18
2,4,18,1,18
2,4,19,1,18
2,5,0,1,21
2,5,1,6,21
2,5,2,6,21
2,5,3,1,21
2,5,4,6,21
2,5,5,1,21
2,5,6,6,21
2,5,7,6,21
2,5,8,6,21
2,5,9,1,21
2,5,10,1,21
2,5,11,1,21
2,5,12,6,21
2,5,13,1,21
2,5,14,6,21
2,5,15,6,21
2,5,16,6,21
2,5,17,2,21
2,5,18,6,21
2,5,19,6,21
3,3,0,6,15
3,3,1,6,15
3,3,2,6,15
3,3,3,1,15
3,3,4,1,15
3,3,5,1,15
3,3,6,1,15
3,3,7,1,15
3,3,8,1,15
3,3,9,6,15
3,3,10,6,15
3,3,11,1,15
3,3,12,6,15
3,3,13,1,15
3,3,14,1,15
3,3,15,6,15
3,3,16,2,15
3,3,17,6,15
3,3,18,6,15
3,3,19,1,15
3,4,0,6,18
3,4,1,6,18
3,4,2,1,18
3,4,3,1,18
3,4,4,1,18
3,4,5,6,18
3,4,6,1,18
3,4,7,1,18
3,4,8,6,18
3,4,9,6,18
3,4,10,6,18
3,4,11,1,18
3,4,12,6,18
3,4,13,6,18
3,4,14,1,18
3,4,15,1,18
3,4,16,1,18
3,4,17,1,18
3,4,18,1,18
3,4,19,1,18
3,5,0,6,21
3,5,1,6,21
3,5,2,1,21
3,5,3,6,21
3,5,4,1,21
3,5,5,1,21
3,5,6,6,21
3,5,7,1,21
3,5,8,1,21
3,5,9,1,21
3,5,10,1,21
3,5,11,6,21
3,5,12,6,21
3,5,13,6,21
3,5,14,6,21
3,5,15,1,21
3,5,16,6,21
3,5,17,6,21
3,5,18,1,21
3,5,19,1,21
5,3,0,6,15
5,3,1,1,15
5,3,2,6,15
5,3,3,1,15
5,3,4,6,15
5,3,5,6,15
5,3,6,1,15
5,3,7,1,15
5,3,8,1,15
5,3,9,1,15
5,3,10,6,15
5,3,11,1,15
5,3,12,1,15
5,3,13,6,15
5,3,14,1,15
5,3,15,1,15
5,3,16,6,15
5,3,17,1,15
5,3,18,1,15
5,3,19,1,15
5,4,0,1,18
5,4,1,1,18
5,4,2,6,18
5,4,3,6,18
5,4,4,1,18
5,4,5,1,18
5,4,6,1,18
5,4,7,1,18
5,4,8,1,18
5,4,9,1,18
5,4,10,1,18
5,4,11,6,18
5,4,12,1,18
5,4,13,1,18
5,4,14,1,18
5,4,15,1,18
5,4,16,6,18
5,4,17,1,18
5,4,18,1,18
5,4,19,1,18
5,5,0,2,21
5,5,1,6,21
5,5,2,6,21
5,5,3,6,21
5,5,4,1,21
5,5,5,1,21
5,5,6,1,21
5,5,7,6,21
5,5,8,1,21
5,5,9,1,21
5,5,10,6,21
5,5,11,6,21
5,5,12,6,21
5,5,13,1,21
5,5,14,1,21
5,5,15,1,21
5,5,16,1,21
5,5,17,1,21
5,5,18,1,21
5,5,19,6,21
8,3,0,1,15
8,3,1,6,15
8,3,2,1,15
8,3,3,1,15
8,3,4,1,15
8,3,5,2,15
8,3,6,1,15
8,3,7,1,15
8,3,8,1,15
8,3,9,6,15
8,3,10,1,15
8,3,11,1,15
8,3,12,1,15
8,3,13,1,15
8,3,14,6,15
8,3,15,1,15
8,3,16,1,15
8,3,17,6,15
8,3,18,6,15
8,3,19,6,15
8,4,0,1,18
8,4,1,1,18
8,4,2,1,18
8,4,3,1,18
8,4,4,6,18
8,4,5,1,18
8,4,6,1,18
8,4,7,6,18
8,4,8,1,18
8,4,9,6,18
8,4,10,1,18
8,4,11,1,18
8,4,12,1,18
8,4,13,1,18
8,4,14,2,18
8,4,15,1,18
8,4,16,1,18
8,4,17,1,18
8,4,18,1,18
8,4,19,6,18
8,5,0,1,21
8,5,1,6,21
8,5,2,6,21
8,5,3,1,21
8,5,4,1,21
8,5,5,6,21
8,5,6,6,21
8,5,7,1,21
8,5,8,1,21
8,5,9,1,21
8,5,10,1,21
8,5,11,6,21
8,5,12,6,21
8,5,13,6,21
8,5,14,2,21
8,5,15,1,21
8,5,16,6,21
8,5,17,6,21
8,5,18,2,21
8,5,19,6,21
