id,order,map_size
0,5040,8
1,5040,8
2,5040,8
3,5040,8
4,5040,8
5,5040,8
6,5040,8
7,5040,8
8,5040,8
9,12,8
10,72,8
11,48,8
12,5040,8
13,5040,8
14,5040,8
15,120,8
16,5040,8
17,36,8
18,6,8
19,5040,8
20,5040,8
21,5040,8
22,5040,8
23,5040,8
24,5040,8
25,5040,8
26,48,8
27,5040,8
28,5040,8
29,5040,8
30,72,8
31,5040,8
32,5040,8
33,5040,8
34,120,8
35,5040,8
36,5040,8
37,5040,8
38,5040,8
39,5040,8
40,5040,8
41,5040,8
42,5040,8
43,5040,8
44,5040,8
45,5040,8
46,5040,8
47,5040,8
48,5040,8
49,5040,8
